O3,PM10,PM2.5,SO2,CO,TOUT,RH,PRS,WS,RAINF
22.333609505310577,44.58926193590139,17.27487145981726,6.926436311204656,1.5029961275170562,21.68702517982936,68.02034621375756,727.1333806548074,13.438459076833148,0.01305276833130339
21.991365111717393,42.443601970158376,16.91767804610839,6.949851796370312,1.484897022585264,20.911572232496923,70.68831872284402,727.1493224862336,12.429561833836791,0.00927055922046264
21.51084448207062,38.32292120051773,16.511326086376343,6.901995343495763,1.4797528982216843,20.364127639853812,73.03983055496339,727.0373346453073,11.227411250304494,0.009505691199756184
20.53490504049936,38.43489700441537,16.534961599080333,6.865059910918414,1.499457320196106,19.899464439269188,74.98053405272222,726.9023919490826,10.00582458878197,0.009128420889159352
19.0942883760292,37.8751153768271,16.540803423964636,6.8540758292838335,1.5099567111827068,19.449083209744252,76.23510165320943,726.8104382623596,9.017756492228973,0.008825264811205645
17.327234491144914,38.363848645706476,16.5897200483069,6.9406481638502,1.5380525380980559,19.216011333300877,77.134892195749,726.8482359851367,8.323087255176615,0.00954649509744193
14.468219583118115,39.07922405298418,16.748339271571243,6.936755398218057,1.5769295279604154,19.000249459683314,77.55721623402549,726.9947475493265,7.9215266484043685,0.009720063915955925
12.144369914780722,42.11370333815475,17.196667802070625,6.9961002138246355,1.6114784449908697,18.986202576370278,76.34910030376362,727.2192396109576,7.640054933191215,0.019412512149817415
12.454524330316653,49.22685150121812,17.92466283521919,7.170916429806348,1.6469356180943964,19.807628274591938,72.03828126802672,727.5433150862323,7.661328537429959,0.06870708923264335
15.467343806321535,55.351099378045156,18.68829738244821,7.422409892691877,1.6445978063325215,21.201186754884237,66.84367473383061,727.7538436816039,8.351744199013403,0.16039302372107195
21.100890375280137,62.5804729499087,20.29345998514004,7.815569412193676,1.6196684624555429,22.534938841412703,62.28731219727764,727.9002187702768,9.729248776553,0.2620945015408038
29.323034806102374,67.06289900426317,22.055549619299605,8.092212518339856,1.5814122796266743,23.738596541583224,58.150893196059606,727.9151469349534,11.276119012423889,0.3504120885383676
38.0381740731121,67.34187282506099,22.7150546847807,8.037296580192479,1.551121165937883,24.88704230080361,54.19003670550542,727.7081506172915,12.997171839366652,0.4177682287819735
43.93495385076132,64.60555952040207,22.341837707643087,7.8646706524470416,1.5275186451595626,25.878078815882795,50.96492190697314,727.3390593288632,14.43726871677221,0.4513621494397068
46.414392854774725,62.25814913596236,21.149648874037705,7.854319884734493,1.5200034198246066,26.47779379332492,48.630242291169246,726.8633930823343,15.384443459342284,0.4341646965042638
46.4462221083618,58.6299143856579,20.165570959774673,7.781148154958618,1.5244743778556684,27.151814559804873,47.29871679989033,726.5136904292287,16.020001291218055,0.37707721095615054
44.38698725185147,55.01567826964075,19.382241884719836,7.632945824482366,1.542997726892211,27.359059413203198,46.886192526638204,726.1931569546865,16.437268716772266,0.2882703738185134
41.39383789771625,52.07685017585264,18.247654082880594,7.588363583668721,1.548122781166266,27.15138098942733,47.66805462874538,726.0349670060859,16.264393608794173,0.1897877441900121
36.91728340381857,50.38862196863584,17.85479781004261,7.497759460381272,1.5649242480828272,26.330922430206858,49.63450334118753,726.0861776964659,15.49903695283802,0.09176404547503032
31.275998334342308,49.859925257308255,17.525524590572456,7.341014021980555,1.5724301316894054,25.411508882240923,52.101505516376314,725.8133079617506,14.154223085042636,0.023029522509135227
27.22133560751528,48.124541142661386,17.232783609360496,7.195320946729597,1.5888105532515213,24.52852896467704,54.781497772783126,726.5072469968296,13.39117592084046,0.010205156577344544
24.601659945554232,47.45275935063951,17.34998680145553,7.105773986684559,1.5618113899299644,23.787001554786638,57.92522493478069,726.8298340574868,13.30376822070646,0.009327012064555218
23.07119417831913,47.362970341047586,17.64203670110227,7.030482860276512,1.5445758977034114,23.043578878050965,61.63909973888545,727.0294563632126,13.65764211065776,0.009637476303288465
22.517582882484763,47.21645128045081,17.769207264305695,6.974636331652887,1.5211443137314276,22.26111846392191,65.14364262970147,727.2016659062097,14.04393455003657,0.009258987965895051
